train_episode,train_steps,reward,env
57300,570768,-2012.0,9
57301,571030,-2242.0,9
57302,571214,-1453.0,9
57303,571457,-1941.0,9
57304,572418,-4534.0,10
57305,572661,-2172.0,9
57306,572988,-2250.0,10
57307,573949,-4172.0,10
57308,574207,-1952.0,10
57309,575168,-5421.0,10
57310,576096,-3531.0,9
57311,577057,-7217.0,10
57312,577329,-2164.0,9
57313,578290,-4673.0,10
57314,579218,-4401.0,9
57315,580179,-9046.0,10
57316,580375,-1799.0,10
57317,581336,-5263.0,10
57318,582297,-11925.0,10
57319,582540,-1606.0,10
57320,582819,-1890.0,10
57321,583780,-7507.0,10
57322,584741,-6436.0,10
57323,585702,-8653.0,10
57324,585930,-2015.0,10
57325,586858,-12450.0,9
57326,587038,-1306.0,9
57327,587238,-1642.0,10
57328,588199,-10909.0,10
57329,589127,-7359.0,9
57330,590055,-4852.0,9
57331,590983,-3633.0,9
57332,591944,-4840.0,10
57333,592905,-8366.0,10
57334,593089,-1439.0,9
57335,594050,-6639.0,10
57336,595011,-3659.0,10
57337,595939,-5622.0,9
57338,596900,-4317.0,10
57339,597828,-4880.0,9
57340,598091,-2331.0,10
57341,598418,-2236.0,10
57342,599346,-6449.0,9
57343,599776,-3091.0,9
57344,600737,-5899.0,10
57345,600908,-1439.0,10
57346,601869,-5764.0,10
57347,602797,-10714.0,9
57348,603047,-2075.0,9
57349,603305,-2270.0,10
57350,604266,-5528.0,10
57351,604517,-1877.0,10
57352,605478,-5903.0,10
57353,605664,-1423.0,9
57354,605850,-1842.0,10
57355,606376,-3107.0,9
57356,607337,-7749.0,10
57357,607511,-1301.0,10
57358,607844,-2633.0,10
57359,608114,-2322.0,10
57360,609042,-7889.0,9
57361,610003,-4023.0,10
57362,610931,-4854.0,9
57363,611892,-6311.0,10
57364,612853,-8406.0,10
57365,613121,-1910.0,9
57366,614082,-5805.0,10
57367,615010,-7812.0,9
57368,615971,-3898.0,10
57369,616152,-1656.0,9
57370,617113,-4798.0,10
57371,617301,-1250.0,9
57372,617458,-1469.0,9
57373,617690,-1738.0,9
57374,617920,-2064.0,10
57375,618225,-2178.0,10
57376,619186,-9378.0,10
57377,619360,-1516.0,10
57378,619662,-2420.0,10
57379,619986,-2234.0,10
57380,620245,-1843.0,9
57381,621173,-3193.0,9
57382,622101,-12265.0,9
57383,622521,-2748.0,10
57384,623482,-11219.0,10
57385,624410,-4983.0,9
57386,625371,-7981.0,10
57387,626332,-9370.0,10
57388,627260,-3506.0,9
57389,627569,-2010.0,10
57390,627889,-2405.0,10
57391,628817,-3749.0,9
57392,629029,-1963.0,10
57393,629990,-4016.0,10
57394,630214,-2068.0,9
57395,631175,-10196.0,10
57396,632103,-4451.0,9
57397,633064,-5600.0,10
57398,633310,-1502.0,9
57399,634271,-7714.0,10
57400,634507,-1667.0,9
57401,635468,-7552.0,10
57402,635761,-1838.0,10
57403,636689,-8820.0,9
57404,637650,-3569.0,10
57405,638611,-11844.0,10
57406,638842,-1677.0,9
57407,639095,-2156.0,10
57408,640023,-8446.0,9
57409,640984,-5744.0,10
57410,641143,-1585.0,9
57411,642104,-4664.0,10
57412,643065,-4217.0,10
57413,643993,-5066.0,9
57414,644169,-1474.0,10
57415,645130,-6830.0,10
57416,646091,-8155.0,10
57417,646345,-2166.0,9
57418,647306,-10899.0,10
57419,648267,-9541.0,10
57420,649228,-9200.0,10
57421,649467,-1476.0,9
57422,650395,-6693.0,9
57423,651356,-5922.0,10
57424,652317,-9394.0,10
57425,653278,-4671.0,10
57426,654239,-8374.0,10
57427,655167,-4927.0,9
57428,656128,-5144.0,10
57429,657056,-4542.0,9
57430,657984,-7728.0,9
57431,658912,-6820.0,9
57432,659058,-1413.0,10
57433,659290,-1985.0,10
57434,659537,-2174.0,9
57435,659860,-2332.0,10
57436,660788,-5666.0,9
57437,660975,-1298.0,9
57438,661903,-7215.0,9
57439,662831,-3724.0,9
57440,663759,-3967.0,9
57441,663927,-1299.0,10
57442,664217,-1861.0,10
57443,664496,-2993.0,10
57444,664809,-2796.0,10
57445,665737,-10565.0,9
57446,665972,-1372.0,9
57447,666205,-1933.0,10
57448,667166,-11753.0,10
57449,667392,-1646.0,9
57450,668320,-3573.0,9
57451,668554,-1861.0,9
57452,669515,-8402.0,10
57453,669769,-1952.0,9
57454,670730,-5988.0,10
57455,671658,-8336.0,9
57456,672586,-9746.0,9
57457,673514,-2607.0,9
57458,674442,-3908.0,9
57459,675403,-8734.0,10
57460,675654,-2313.0,9
57461,676615,-12872.0,10
57462,677576,-11934.0,10
57463,677753,-1395.0,10
57464,678714,-8497.0,10
57465,678959,-1856.0,10
57466,679887,-5479.0,9
57467,680815,-3285.0,9
57468,681070,-1705.0,9
57469,681351,-1907.0,10
57470,681641,-2297.0,9
57471,681812,-1322.0,9
57472,682740,-6304.0,9
57473,683668,-10667.0,9
57474,684064,-3017.0,10
57475,684992,-3462.0,9
57476,685920,-5920.0,9
57477,686848,-11374.0,9
57478,687776,-5096.0,9
57479,688704,-9360.0,9
57480,689665,-5135.0,10
57481,690626,-6863.0,10
57482,690904,-1572.0,9
57483,691832,-4469.0,9
57484,692760,-4643.0,9
57485,693006,-1824.0,9
57486,693967,-3724.0,10
57487,694191,-2167.0,10
57488,694402,-1671.0,10
57489,695363,-4469.0,10
57490,696324,-7685.0,10
57491,696564,-1958.0,10
57492,696819,-1767.0,9
57493,697780,-3872.0,10
57494,698741,-6859.0,10
